,0,1,2
0,192959673.1818182,998483118.1130085,English
1,624330710.7334526,4195789411.893843,Mandarin Chinese
2,429074013.38425773,5353431490.598261,Hindi
3,650491721.2839687,8913829354.51823,Spanish
4,216550326.8879971,5935954946.240303,French
5,,,Modern Standard Arabic
6,643893976.4576458,17740669786.839504,Bengali
7,448131292.02168864,13040367200.586231,Russian
8,677582987.0391929,19755538051.848324,Portuguese
9,228035397.66536966,7407427719.145765,Urdu
10,164616817.28643215,6215297370.072153,Indonesian
11,422004928.97473997,23556634931.08139,Standard German
12,750748239.3939394,44981877011.42057,Japanese
13,29257106.710853357,1821230410.8303413,Nigerian Pidgin
14,630040049.8486377,47767805585.231514,Marathi
15,649283489.8641589,50975701355.523735,Telugu
16,701030150.737798,59786286161.00484,Turkish
17,681778196.2962962,59288457773.6009,Tamil
18,747836430.8411216,65640766114.223885,Yue Chinese
19,745181594.841735,65637778875.98957,Vietnamese
20,257448319.31956258,23503417418.605484,Tagalog
21,750428882.396088,68928213896.48001,Wu Chinese
22,,,Korean
23,547493454.2635659,53147000436.427536,Iranian Persian
24,495051205.18806744,48243247196.48781,Hausa
25,,,Egyptian Spoken Arabic
26,169421472.5490196,17828344944.520622,Swahili
27,,,Javanese
28,717044352.2827687,79344537521.6999,Italian
29,,,Western Punjabi
30,570554431.875,66981967023.08725,Kannada
31,690754867.7419355,83709173212.13663,Gujarati
32,256225554.85996705,31715717373.573906,Thai
33,423367926.26086956,55321111415.56454,Amharic
34,748485124.1904762,107118543237.94121,Bhojpuri
35,699029205.8027079,101588738163.23589,Eastern Punjabi
36,745300338.4305835,112671925854.9173,Min Nan Chinese
37,,,Jin Chinese
38,718393566.6666666,118369109318.3611,Yoruba
39,746236193.1972789,127138916903.55402,Hakka Chinese
40,576615446.5116279,100753143380.54668,Burmese
41,591486251.0638298,105061857416.67984,Sudanese Spoken Arabic
42,740243743.8423645,136990200074.44006,Polish
43,646941805.955335,120614899219.81277,Algerian Spoken Arabic
44,378470278.41191065,70561454010.43802,Lingala
