,0,1,2
0,153765058.1818182,634049158.4247233,English
1,497514566.0107334,2664378292.710963,Mandarin Chinese
2,341919062.9026901,3399495364.241168,Hindi
3,518361664.49024254,5660392146.894772,Spanish
4,172563899.30682233,3769404980.250015,French
5,,,Modern Standard Arabic
6,513104075.6875688,11265545249.77297,Bengali
7,357105363.28427577,8280794836.778868,Russian
8,539950061.6220411,12545011576.835026,Portuguese
9,181716084.0466926,4703808433.228583,Urdu
10,131179298.09045227,3946790882.4549847,Indonesian
11,336285874.59138185,14958755218.213043,Standard German
12,598253742.9027113,28564049552.841454,Japanese
13,23314305.21955261,1156503889.086081,Nigerian Pidgin
14,502064205.04540867,30333148735.003387,Marathi
15,517398853.08254963,32370202318.15451,Telugu
16,558634558.9103292,37965032896.464485,Turkish
17,543293125.925926,37648905698.77092,Tamil
18,595933390.6542056,41682700246.081924,Yue Chinese
19,593817813.8335288,41680803312.76967,Vietnamese
20,205154554.5565006,14924961438.041203,Tagalog
21,597999254.7677262,43770270343.05457,Wu Chinese
22,,,Korean
23,436284750.3875969,33749004152.618397,Iranian Persian
24,394494746.5629053,30635060052.309235,Hausa
25,,,Egyptian Spoken Arabic
26,135008015.6862745,11321220061.829405,Swahili
27,,,Javanese
28,571395902.2091311,50384764978.609085,Italian
29,,,Western Punjabi
30,454661505.0,42534379450.38375,Kannada
31,550446425.8064516,53156362751.4206,Gujarati
32,204180162.10873148,20139873719.201866,Thai
33,337372015.3043478,35129591577.32009,Amharic
34,596450319.2380953,68021602929.10626,Bhojpuri
35,557040052.6112186,64510108152.41354,Eastern Punjabi
36,593912437.8269618,71548069737.43707,Min Nan Chinese
37,,,Jin Chinese
38,572471059.6491228,75165851866.00677,Yoruba
39,594658198.6394558,80734788403.90924,Hakka Chinese
40,459491386.04651165,63979495106.34678,Burmese
41,471341582.9787234,66715581935.40204,Sudanese Spoken Arabic
42,589882955.6650246,86990475346.02637,Polish
43,515532819.8511166,76591956294.99823,Algerian Spoken Arabic
44,301594128.03970224,44807398063.06813,Lingala
