,0,1,2
0,65312202.27272727,114392163.19961494,English
1,211320909.66010734,480694584.06431913,Mandarin Chinese
2,145231220.02656925,613320944.1816158,Hindi
3,220175781.68885645,1021221294.3395613,Spanish
4,73297070.4122583,680058295.0657659,French
5,,,Modern Standard Arabic
6,217942603.96039605,2032476620.4979904,Bengali
7,151681649.883811,1493982007.2386377,Russian
8,229345522.7008149,2263311909.7637696,Portuguese
9,77184490.27237354,848638965.6134082,Urdu
10,55718828.140703514,712061424.1681775,Indonesian
11,142838505.20059437,2698788170.362463,Standard German
12,254110198.56459332,5153391302.038072,Japanese
13,9902826.014913008,208650985.2800805,Nigerian Pidgin
14,213253383.45105955,5472563845.16542,Marathi
15,219766824.45141065,5840079459.426499,Telugu
16,237281822.92849034,6849472444.314774,Turkish
17,230765500.0,6792438264.062501,Tamil
18,253124621.49532712,7520196479.712748,Yue Chinese
19,252226023.44665885,7519854243.937884,Vietnamese
20,87140055.89307413,2692691255.6908092,Tagalog
21,254002103.91198045,7896826045.497248,Wu Chinese
22,,,Korean
23,185313348.8372093,6088836393.131422,Iranian Persian
24,167562910.50583658,5527033263.225787,Hausa
25,,,Egyptian Spoken Arabic
26,57345088.23529412,2042521207.896688,Swahili
27,,,Javanese
28,242702244.47717232,9090182017.63227,Italian
29,,,Western Punjabi
30,193118934.375,7673852430.89209,Kannada
31,233803887.0967742,9590220635.361603,Gujarati
32,86726179.57166392,3633541170.5780177,Thai
33,143299846.95652175,6337915474.618072,Amharic
34,253344188.57142857,12272137262.507753,Bhojpuri
35,236604551.25725338,11638609911.776766,Eastern Punjabi
36,252266215.2917505,12908365796.678259,Min Nan Chinese
37,,,Jin Chinese
38,243158921.0526316,13561069010.889889,Yoruba
39,252582979.59183672,14565790314.952105,Hakka Chinese
40,195170441.8604651,11542879204.85127,Burmese
41,200203851.06382978,12036511105.341784,Sudanese Spoken Arabic
42,250554679.80295566,15694411892.79041,Polish
43,218974220.84367245,13818360055.934708,Algerian Spoken Arabic
44,128103074.44168735,8083939744.538172,Lingala
