,0,1,2
0,118341432.95454545,375561672.1302005,English
1,382899648.03220034,1578171587.3324318,Mandarin Chinese
2,263149458.90069744,2013598072.6876955,Hindi
3,398944096.2064563,3352778426.332131,Spanish
4,132809491.06165633,2232703913.424832,French
5,,,Modern Standard Arabic
6,394897724.42244226,6672837516.218363,Bengali
7,274837215.3369481,4904902268.452467,Russian
8,415559066.3562282,7430694390.312395,Portuguese
9,139853241.2451362,2786172234.582659,Urdu
10,100958867.33668342,2337773599.5197344,Indonesian
11,258814016.3447251,8860409399.006302,Standard German
12,460431037.0813397,16919133272.769196,Japanese
13,17943272.162386082,685023438.0711899,Nigerian Pidgin
14,386401163.97578204,17967010772.7845,Marathi
15,398203092.476489,19173603731.29858,Telugu
16,429939122.58796823,22487548556.16934,Turkish
17,418131972.2222222,22300299259.49556,Tamil
18,458645235.9813084,24689607099.5716,Yue Chinese
19,457017035.1699883,24688483503.02202,Vietnamese
20,157892074.11907655,8840392577.880838,Tagalog
21,460235176.6503667,25926122132.973595,Wu Chinese
22,,,Korean
23,335775651.1627907,19990299275.495766,Iranian Persian
24,303613019.45525295,18145839681.640903,Hausa
25,,,Egyptian Spoken Arabic
26,103905544.11764705,6705814967.940558,Swahili
27,,,Javanese
28,439760571.4285714,29844037065.30612,Italian
29,,,Western Punjabi
30,349918860.9375,25194075975.266968,Kannada
31,423637330.6451613,31485717178.27328,Gujarati
32,157142157.33113673,11929303193.567019,Thai
33,259649937.39130434,20808052465.2186,Amharic
34,459043077.14285713,40290735501.48816,Bhojpuri
35,428711950.6769826,38210797641.01113,Eastern Punjabi
36,457089860.1609658,42379541635.28829,Min Nan Chinese
37,,,Jin Chinese
38,440588039.4736842,44522435900.74879,Yoruba
39,457663816.32653064,47821043099.21561,Hakka Chinese
40,353636058.1395349,37896503520.14197,Burmese
41,362756265.9574468,39517149697.114075,Sudanese Spoken Arabic
42,453988669.9507389,51526428110.91023,Polish
43,396766946.6501241,45367149842.66928,Algerian Spoken Arabic
44,232114380.89330024,26540436363.290672,Lingala
