,0,1,2
0,67807165.22727273,123298784.02141765,English
1,219393487.56708407,518121661.8605842,Mandarin Chinese
2,150779134.52341413,661074364.8627455,Hindi
3,228586620.70034653,1100734003.8593657,Spanish
4,76097059.83217804,733007913.3040613,French
5,,,Modern Standard Arabic
6,226268134.32343236,2190726085.1607537,Bengali
7,157475974.43841982,1610304060.0863543,Russian
8,238106650.9895227,2439534304.881513,Portuguese
9,80132981.3229572,914714344.1175795,Urdu
10,57847318.79396985,767502819.1860498,Indonesian
11,148295016.64190194,2908916926.034652,Standard German
12,263817351.43540668,5554636465.953143,Japanese
13,10281119.552609777,224896636.71288309,Nigerian Pidgin
14,221399782.94651866,5898659914.412224,Marathi
15,228162041.0658307,6294790445.384017,Telugu
16,246346122.36095345,7382775182.758863,Turkish
17,239580872.2222222,7321300297.801119,Tamil
18,262794124.76635513,8105722067.102655,Yue Chinese
19,261861199.76553342,8105353184.709764,Vietnamese
20,90468855.16403402,2902345303.0819025,Tagalog
21,263705127.50611246,8511676165.607715,Wu Chinese
22,,,Korean
23,192392423.25581396,6562915696.1426,Iranian Persian
24,173963908.17120624,5957370343.740132,Hausa
25,,,Egyptian Spoken Arabic
26,59535702.941176474,2201552748.2608747,Swahili
27,,,Javanese
28,251973607.06921944,9797947323.992807,Italian
29,,,Western Punjabi
30,200496186.5625,8271341733.766421,Kannada
31,242735327.41935483,10336919153.926561,Gujarati
32,90039168.53377265,3916450178.866239,Thai
33,148773981.91304347,6831388177.241539,Amharic
34,263022079.42857143,13227650911.458841,Bhojpuri
35,245642978.52998066,12544796860.931505,Eastern Punjabi
36,261902926.96177062,13913416460.678003,Min Nan Chinese
37,,,Jin Chinese
38,252447728.9473684,14616939415.294493,Yoruba
39,262231791.83673468,15699888732.854921,Hakka Chinese
40,202626062.79069766,12441612521.83629,Burmese
41,207851751.06382978,12973678804.894974,Sudanese Spoken Arabic
42,260126009.85221675,16916385250.40889,Polish
43,227339159.55334988,14894263246.807917,Algerian Spoken Arabic
44,132996684.1191067,8713358614.126822,Lingala
