,0,1,2
0,155831057.72727272,651201891.9925075,English
1,504199211.2701252,2736456885.311263,Mandarin Chinese
2,346513114.6130853,3491460849.0509224,Hindi
3,525326413.0220682,5813520965.2123995,Spanish
4,174882481.57606712,3871377514.202969,French
5,,,Modern Standard Arabic
6,519998182.83828384,11570308521.827868,Bengali
7,361903459.3338497,8504812589.468015,Russian
8,547204873.5739231,12884387851.250137,Portuguese
9,184157635.79766536,4831059091.536405,Urdu
10,132941833.56783919,4053562181.738315,Indonesian
11,340804238.3358098,15363429744.39834,Standard German
12,606291927.7511961,29336783851.25791,Japanese
13,23627558.077879038,1187790427.0713766,Nigerian Pidgin
14,508809979.61654896,31153741920.263893,Marathi
15,524350665.20376176,33245903276.859425,Telugu
16,566140417.2531215,38992089056.87816,Turkish
17,550592855.5555556,38667409768.982254,Tamil
18,603940399.0654205,42810329298.50932,Yue Chinese
19,601796397.1864009,42808381048.053474,Vietnamese
20,207911027.4605103,15328721751.661373,Tagalog
21,606034020.2933985,44954373776.37446,Wu Chinese
22,,,Korean
23,442146706.9767442,34662005406.09554,Iranian Persian
24,399795209.3385214,31463820750.00633,Hausa
25,,,Egyptian Spoken Arabic
26,136821994.11764705,11627489487.161146,Swahili
27,,,Javanese
28,579073222.9749632,51747808266.45238,Italian
29,,,Western Punjabi
30,460770373.125,43685048713.94068,Kannada
31,557842267.7419355,54594385206.92373,Gujarati
32,206923542.99835256,20684711423.66718,Thai
33,341904972.5217391,36079941430.5837,Amharic
34,604464273.1428572,69861770077.65251,Bhojpuri
35,564524487.0406189,66255279931.07566,Eastern Punjabi
36,601892292.555332,73483637289.55646,Min Nan Chinese
37,,,Jin Chinese
38,580162826.3157895,77199290146.49654,Yoruba
39,602648073.4693878,82918881382.73164,Hakka Chinese
40,465665148.8372093,65710312376.23645,Burmese
41,477674565.9574468,68520417706.497055,Sudanese Spoken Arabic
42,597808669.9507389,89343801467.06787,Polish
43,522459559.8014888,78663974532.5549,Algerian Spoken Arabic
44,305646370.719603,46019558588.20935,Lingala
