,0,1,2
0,80299007.04545455,172913127.7148286,English
1,259811468.96243292,726609250.854868,Mandarin Chinese
2,178556569.12985718,927084861.2801822,Hindi
3,270698216.10432243,1543659662.9884655,Spanish
4,90116115.65122218,1027963835.4511964,French
5,,,Modern Standard Arabic
6,267952604.29042906,3072254948.4819536,Bengali
7,186487140.9759876,2258276217.4933686,Russian
8,281972083.35273576,3421181402.335721,Portuguese
9,94895558.75486381,1282787332.1079502,Urdu
10,68504298.09045227,1076339187.354482,Indonesian
11,175614812.18424964,4079439452.1837664,Standard German
12,312419362.9186603,7789773210.41513,Japanese
13,12175168.931234466,315393060.64701486,Nigerian Pidgin
14,262187376.08476287,8272228661.638133,Marathi
15,270195417.8683386,8827758626.003157,Telugu
16,291729479.4551646,10353538830.070719,Turkish
17,283717894.4444444,10267326993.365932,Tamil
18,311207631.30841124,11367393167.205635,Yue Chinese
19,310102837.28018755,11366875849.789892,Vietnamese
20,107135569.13730255,4070223466.0899773,Tagalog
21,312286464.42542785,11936699616.075155,Wu Chinese
22,,,Korean
23,227836106.97674417,9203775113.886244,Iranian Persian
24,206012580.54474708,8354563650.138958,Hausa
25,,,Egyptian Spoken Arabic
26,70503726.47058824,3087438165.366164,Swahili
27,,,Javanese
28,298393693.078056,13740554948.882881,Italian
29,,,Western Punjabi
30,237432794.0625,11599656727.639,Kannada
31,287453482.2580645,14496404291.62937,Gujarati
32,106626723.06425041,5492395203.584711,Thai
33,176182015.3043478,9580278554.537485,Amharic
34,311477581.14285713,18550341023.825077,Bhojpuri
35,290896798.25918764,17592712523.37765,Eastern Punjabi
36,310152251.7102616,19512052584.370274,Min Nan Chinese
37,,,Jin Chinese
38,298955160.5263158,20498666973.696156,Yoruba
39,310541702.0408163,22017385549.408024,Hakka Chinese
40,239955048.8372093,17448007715.899242,Burmese
41,246143444.68085107,18194172780.587143,Sudanese Spoken Arabic
42,308047980.2955665,23723389541.044434,Polish
43,269220940.1985112,20887583470.13554,Algerian Spoken Arabic
44,157498129.28039703,12219537303.854511,Lingala
