,0,1,2
0,201369929.3181818,1087418837.0504034,English
1,651542516.7262969,4569511852.551528,Mandarin Chinese
2,447775446.1474593,5830266070.734406,Hindi
3,678843769.6698887,9707791523.480618,Spanish
4,225988794.96534112,6464675373.403417,French
5,,,Modern Standard Arabic
6,671958458.4158416,19320845949.362186,Bengali
7,467663347.01781565,14201883515.838043,Russian
8,707115823.515716,21515180200.787827,Portuguese
9,237974449.02723736,8067213445.842905,Urdu
10,171791734.07035175,6768899058.462949,Indonesian
11,440398251.7087667,25654843929.647915,Standard German
12,783470024.6411483,48988450080.70244,Japanese
13,30532294.200497102,1983448913.0759766,Nigerian Pidgin
14,657500700.6054491,52022523621.73964,Marathi
15,677582876.8025079,55516149327.20224,Telugu
16,731584945.0624291,65111500224.087265,Turkish
17,711493883.3333334,64569329849.585075,Tamil
18,780431303.271028,71487443559.30931,Yue Chinese
19,777660754.7479484,71484190245.28946,Vietnamese
20,268669349.45321995,25596886289.225677,Tagalog
21,783136748.2885085,75067707040.37929,Wu Chinese
22,,,Korean
23,571356265.1162791,57880847816.954575,Iranian Persian
24,516628291.05058366,52540313211.387115,Hausa
25,,,Egyptian Spoken Arabic
26,176805802.94117647,19416330406.008774,Swahili
27,,,Javanese
28,748297134.6097202,86411821244.61694,Italian
29,,,Western Punjabi
30,595422368.4375,72948106344.79877,Kannada
31,720861808.0645162,91165218653.6918,Gujarati
32,267393290.11532125,34540662608.06587,Thai
33,441820656.0,60248608663.0464,Amharic
34,781108270.2857143,116659680670.88727,Bhojpuri
35,729496787.8143133,110637331274.71959,Eastern Punjabi
36,777784673.8430583,122707707680.55833,Min Nan Chinese
37,,,Jin Chinese
38,749705155.2631578,128912343997.28342,Yoruba
39,778761318.3673469,138463285613.07037,Hakka Chinese
40,601747555.8139535,109727309372.14154,Burmese
41,617266512.7659575,114419804138.81259,Sudanese Spoken Arabic
42,772507684.729064,149192030741.36475,Polish
43,675139129.280397,131358168266.71259,Algerian Spoken Arabic
44,394966118.8585608,76846421205.02206,Lingala
