,0,1,2
0,89255823.63636364,213639100.3755873,English
1,288791698.7477639,897746450.652521,Mandarin Chinese
2,198473358.88409168,1145439784.4354012,Hindi
3,300892789.6407076,1907235535.2384062,Spanish
4,100167964.97628602,1270078633.8595524,French
5,,,Modern Standard Arabic
6,297840923.2123212,3795858602.4804378,Bengali
7,207288532.9202169,2790164667.546483,Russian
8,313424181.2960807,4226967186.7951145,Portuguese
9,105480522.95719844,1584920330.9578443,Urdu
10,76145493.86934674,1329847760.689615,Indonesian
11,195203468.64784548,5040263779.384973,Standard German
12,347267651.0366826,9624486947.847979,Japanese
13,13533227.506213753,389677120.7126394,Nigerian Pidgin
14,291432622.40161455,10220574416.35163,Marathi
15,300333907.6280042,10906947529.758955,Telugu
16,324269949.6027242,12792092483.619621,Turkish
17,315364725.9259259,12685575300.807955,Tamil
18,345920758.8785047,14044738429.939035,Yue Chinese
19,344692732.4736225,14044099269.519182,Vietnamese
20,119085824.54434994,5028877165.747411,Tagalog
21,347119928.606357,14748132782.825258,Wu Chinese
22,,,Korean
23,253249699.2248062,11371526623.662199,Iranian Persian
24,228991904.539559,10322301642.648523,Hausa
25,,,Egyptian Spoken Arabic
26,78367945.09803921,3814617899.931235,Swahili
27,,,Javanese
28,331677511.634757,16976847488.306227,Italian
29,,,Western Punjabi
30,263916832.5,14331706682.475939,Kannada
31,319516993.5483871,17910720906.350883,Gujarati
32,118520220.0988468,6786010904.482651,Thai
33,195833939.47826087,11836707361.597267,Amharic
34,346220819.8095238,22919475347.911808,Bhojpuri
35,323344388.3945841,21736298026.251076,Eastern Punjabi
36,344747658.7525151,24107697406.7628,Min Nan Chinese
37,,,Jin Chinese
38,332301607.01754385,25326687620.743614,Yoruba
39,345180549.65986395,27203107731.38945,Hakka Chinese
40,266720427.90697673,21557511109.96387,Burmese
41,273599097.87234044,22479419326.29385,Sudanese Spoken Arabic
42,342408669.9507389,29310924314.35851,Polish
43,299250733.4987593,25807205043.09668,Algerian Spoken Arabic
44,175065991.06699753,15097586811.955692,Lingala
