,0,1,2
0,91088555.22727273,222502678.82520556,English
1,294721593.8282648,934992657.3592322,Mandarin Chinese
2,202548705.23082033,1192962430.6682682,Hindi
3,307071162.0828014,1986363989.5277457,Spanish
4,102224760.67128785,1322772366.3673518,French
5,,,Modern Standard Arabic
6,303956630.2530253,3953343306.5799885,Bengali
7,211544885.3601859,2905924579.3541684,Russian
8,319859866.6666667,4402337964.888889,Portuguese
9,107646403.89105058,1650676391.8340726,Urdu
10,77709024.92462312,1385021228.1503892,Indonesian
11,199211672.80832094,5249377061.255227,Standard German
12,354398260.20733654,10023793043.734,Japanese
13,13811111.5990058,405844262.97913307,Nigerian Pidgin
14,297416744.80322903,10644611322.424677,Marathi
15,306500804.28422153,11359461067.33672,Telugu
16,330928336.2088536,13322817969.094896,Turkish
17,321840257.4074074,13211881541.845184,Tamil
18,353023711.682243,14627434390.834204,Yue Chinese
19,351770469.6365768,14626768712.569479,Vietnamese
20,121531069.5018226,5237518033.42441,Tagalog
21,354247504.5232274,15360011561.925827,Wu Chinese
22,,,Korean
23,258449793.7984496,11843314878.450554,Iranian Persian
24,233693902.46433204,10750559064.7655,Hausa
25,,,Egyptian Spoken Arabic
26,79977110.78431372,3972880900.252416,Swahili
27,,,Javanese
28,338488001.1782032,17681192429.261623,Italian
29,,,Western Punjabi
30,269335960.3125,14926308542.686539,Kannada
31,326077785.483871,18653810909.836033,Gujarati
32,120953851.23558484,7067552719.1884,Thai
33,199855089.39130434,12327795294.9402,Amharic
34,353329933.9047619,23870371356.241573,Bhojpuri
35,329983770.01934236,22638105712.303165,Eastern Punjabi
36,351826523.7424547,25107891036.24748,Min Nan Chinese
37,,,Jin Chinese
38,339124911.4035088,26377455397.806805,Yoruba
39,352268303.4013606,28331725475.17649,Hakka Chinese
40,272197123.25581396,22451901184.466904,Burmese
41,279217036.17021275,23412058044.347717,Sudanese Spoken Arabic
42,349439507.38916254,30526992331.095146,Polish
43,305395388.8337469,26877908795.652874,Algerian Spoken Arabic
44,178660702.97766748,15723963935.209026,Lingala
