,0,1,2
0,102612141.13636364,282361263.3035401,English
1,332006734.61538464,1186528222.06642,Mandarin Chinese
2,228173081.4181335,1513898083.2755504,Hindi
3,345918643.0603684,2520743788.0077224,Spanish
4,115157184.60415907,1678630021.0071356,French
5,,,Modern Standard Arabic
6,342410092.7392739,5016887959.337534,Bengali
7,238307365.60805577,3687688344.353997,Russian
8,360325242.8405122,5586673004.650349,Portuguese
9,121264718.28793775,2094748134.1101003,Urdu
10,87539970.45226131,1757625327.2437577,Indonesian
11,224413882.02080238,6661586037.519392,Standard German
12,399233078.2296651,12720435016.17988,Japanese
13,15558351.201325601,515026153.41231865,Nigerian Pidgin
14,335042848.3350151,13508268377.910946,Marathi
15,345276129.46708465,14415429937.094437,Telugu
16,372793981.1577753,16906977176.090475,Turkish
17,362556172.2222222,16766196175.565008,Tamil
18,397684635.9813084,18562566865.67908,Yue Chinese
19,396272846.6588511,18561722103.91363,Vietnamese
20,136905928.79708382,6646536645.316379,Tagalog
21,399063250.4889976,19492224956.039707,Wu Chinese
22,,,Korean
23,291146200.0,15029452087.666668,Iranian Persian
24,263258448.24902725,13642718617.024755,Hausa
25,,,Egyptian Spoken Arabic
26,90094991.1764706,5041681636.700816,Swahili
27,,,Javanese
28,381310017.083947,22437859433.419743,Italian
29,,,Western Punjabi
30,303409572.1875,18941845369.341927,Kannada
31,367329788.7096774,23672135732.192326,Gujarati
32,136255686.82042834,8968894778.215773,Thai
33,225138697.04347825,15644269415.566385,Amharic
34,398029598.28571427,30292076694.357,Bhojpuri
35,371729918.1818182,28728301885.95868,Eastern Punjabi
36,396335992.1529175,31862519001.184074,Min Nan Chinese
37,,,Jin Chinese
38,382027502.6315789,33473626781.40391,Yoruba
39,396833661.2244898,35953642621.19478,Hakka Chinese
40,306632700.0,28492003851.3,Burmese
41,314540700.0,29710466053.0,Sudanese Spoken Arabic
42,393646995.07389164,38739489182.67612,Polish
43,344030868.2382134,34108714207.705753,Algerian Spoken Arabic
44,201263015.13647643,19954089291.539673,Lingala
