,0,1,2
0,136529065.45454547,499870896.0550163,English
1,441746646.15384614,2100539282.972781,Mandarin Chinese
2,303592315.9083361,2680089976.1147704,Hindi
3,460256930.00182384,4462533002.205683,Spanish
4,153220687.34038672,2971718864.4380436,French
5,,,Modern Standard Arabic
6,455588680.3080308,8881516714.797308,Bengali
7,317076337.7226956,6528402853.482916,Russian
8,479425418.0830423,9890220804.823576,Portuguese
9,161346975.87548637,3708382709.994983,Urdu
10,116475011.85929649,3111566143.9502883,Indonesian
11,298590568.79643387,11793165049.494432,Standard German
12,531193662.5199362,22519290271.456013,Japanese
13,20700933.885666944,911763114.3377743,Nigerian Pidgin
14,445786302.320888,23914010509.859226,Marathi
15,459402043.0512017,25519980309.506428,Telugu
16,496015513.2803632,29930825962.868877,Turkish
17,482393748.1481481,29681597991.37997,Tamil
18,529133405.60747665,32861755977.67211,Yue Chinese
19,527254970.2227433,32860260475.719376,Vietnamese
20,182158156.98663425,11766522750.6267,Tagalog
21,530967700.7334963,34507551924.38381,Wu Chinese
22,,,Korean
23,387380266.6666667,26606998404.74074,Iranian Persian
24,350274631.387808,24152030983.04425,Hausa
25,,,Egyptian Spoken Arabic
26,119874556.86274509,8925409554.682922,Swahili
27,,,Javanese
28,507346398.8217968,39722279073.679886,Italian
29,,,Western Punjabi
30,403697115.0,33533201781.753754,Kannada
31,488745212.9032258,41907347918.56482,Gujarati
32,181292987.14991763,15877848883.932465,Thai
33,299554960.6956522,27695424221.411644,Amharic
34,529592390.0952381,53626787695.37033,Bhojpuri
35,494599740.0386847,50858399760.15271,Eastern Punjabi
36,527338987.5251509,56406979262.48505,Min Nan Chinese
37,,,Jin Chinese
38,508301038.5964912,59259161889.51185,Yoruba
39,528001153.7414966,63649593231.13049,Hakka Chinese
40,407985600.0,50440075699.2,Burmese
41,418507472.34042555,52597148469.90151,Sudanese Spoken Arabic
42,523761182.26600987,68581444012.172104,Polish
43,457745179.15632755,60383472346.0687,Algerian Spoken Arabic
44,267787525.55831265,35325201401.302444,Lingala
