,0,1,2
0,203125076.13636363,1106457402.9338567,English
1,657221382.3792486,4649515021.060179,Mandarin Chinese
2,451678271.42145467,5932342566.858775,Hindi
3,684760593.9266825,9877755866.754221,Spanish
4,227958520.612915,6577859129.117568,French
5,,,Modern Standard Arabic
6,677815270.0770077,19659115975.591225,Bengali
7,471739515.87916344,14450530574.149837,Russian
8,713279067.9084207,21891868705.520885,Portuguese
9,240048642.0233463,8208454492.486134,Urdu
10,173289076.38190955,6887409172.774147,Indonesian
11,444236777.11738485,26104009807.35993,Standard German
12,790298774.7208931,49846141526.36433,Japanese
13,30798414.664457332,2018175203.9231074,Nigerian Pidgin
14,663231497.9818366,52933335729.871346,Marathi
15,683488711.07628,56488127952.68616,Telugu
16,737961463.1101022,66251474578.54047,Turkish
17,717695287.037037,65699811866.7315,Tamil
18,787233567.7570094,72739048145.94246,Yue Chinese
19,784438871.0433763,72735737872.79039,Vietnamese
20,271011080.1944107,26045037442.6033,Tagalog
21,789962593.5207824,76381995001.47868,Wu Chinese
22,,,Korean
23,576336224.8062016,58894227663.80576,Iranian Persian
24,521131239.94811934,53460190797.21739,Hausa
25,,,Egyptian Spoken Arabic
26,178346848.03921568,19756272177.343533,Swahili
27,,,Javanese
28,754819316.6421207,87924722341.98737,Italian
29,,,Western Punjabi
30,600612089.0625,74225284265.02478,Kannada
31,727144862.9032258,92761342394.13176,Gujarati
32,269723898.68204284,35145401700.59947,Thai
33,445671579.1304348,61303443347.10352,Amharic
34,787916435.2380953,118702162317.07602,Bhojpuri
35,735855105.4158608,112574373423.40698,Eastern Punjabi
36,784563870.221328,124856078388.77663,Min Nan Chinese
37,,,Jin Chinese
38,756239609.6491228,131169345688.5912,Yoruba
39,785549027.2108843,140887505514.14764,Hakka Chinese
40,606992406.9767442,111648418826.49136,Burmese
41,622646627.6595745,116423069950.70293,Sudanese Spoken Arabic
42,779240886.6995074,151804089876.05862,Polish
43,681023663.7717122,133657991532.28993,Algerian Spoken Arabic
44,398408656.32754344,78191850954.04858,Lingala
