,0,1,2
0,124858091.5909091,418062296.4795882,English
1,403984624.2397138,1756766163.854712,Mandarin Chinese
2,277640201.0793756,2241467905.0711293,Hindi
3,420912585.3912092,3732197272.8188744,Spanish
4,140122856.25684056,2485368967.7943296,French
5,,,Modern Standard Arabic
6,416643393.7293729,7427972509.128339,Bengali
7,289971562.35476375,5459967985.354717,Russian
8,438442485.2153667,8271592635.190494,Portuguese
9,147554481.71206227,3101470808.164575,Urdu
10,106518327.43718593,2602328917.4347606,Indonesian
11,273066020.50520056,9863102057.479712,Standard German
12,485785402.15311,18833795446.53303,Japanese
13,18931346.893123448,762544457.8463293,Nigerian Pidgin
14,407678956.71039355,20000256527.614315,Marathi
15,420130777.1159875,21343394181.388577,Telugu
16,453614402.0431328,25032363228.8259,Turkish
17,441157072.2222222,24823923771.898342,Tamil
18,483901263.08411217,27483618827.981117,Yue Chinese
19,482183402.81359905,27482368079.066372,Vietnamese
20,166586651.51883355,9840820022.78627,Tagalog
21,485578756.3569682,28860064703.204395,Wu Chinese
22,,,Korean
23,354265669.76744187,22252511485.06634,Iranian Persian
24,320331951.75097275,20199322699.328255,Hausa
25,,,Egyptian Spoken Arabic
26,109627267.64705883,7464681870.658304,Swahili
27,,,Javanese
28,463976684.53608245,33221352437.206078,Italian
29,,,Western Punjabi
30,369187697.8125,28045176176.150993,Kannada
31,446965591.9354839,35048814100.74342,Gujarati
32,165795439.37397036,13279288752.274338,Thai
33,273947972.8695652,23162806123.25433,Amharic
34,484321012.0,44850256723.6528,Bhojpuri
35,452319653.96518373,42534941655.547516,Eastern Punjabi
36,482260238.02816904,47175443647.66455,Min Nan Chinese
37,,,Jin Chinese
38,464849718.42105263,49560839613.791725,Yoruba
39,482865800.0,53232735344.66667,Hakka Chinese
40,373109588.372093,42185080283.39172,Burmese
41,382732014.89361703,43989127695.05342,Sudanese Spoken Arabic
42,478988275.86206895,57357442103.32937,Polish
43,418615547.6426799,50501146031.17603,Algerian Spoken Arabic
44,244896127.29528537,29543898110.457443,Lingala
