,0,1,2
0,66522868.86363637,118672354.03187343,English
1,215238082.2003578,498680646.17102236,Mandarin Chinese
2,147923313.99867153,636269462.7609646,Hindi
3,224257093.5072041,1059432146.372422,Spanish
4,74655749.36154687,705503913.0043174,French
5,,,Modern Standard Arabic
6,221982520.2420242,2108525429.739011,Bengali
7,154493312.93570876,1549882061.159145,Russian
8,233596810.39968956,2347997841.175065,Portuguese
9,78615228.79377432,880392335.9398123,Urdu
10,56751666.13065327,738704497.3864994,Indonesian
11,145486246.35958394,2799768238.068989,Standard German
12,258820539.3141946,5346214810.126939,Japanese
13,10086390.803645402,216458041.36992028,Nigerian Pidgin
14,217206377.4974773,5677329774.437618,Marathi
15,223840555.59038663,6058596653.810515,Telugu
16,241680222.7014756,7105757913.02127,Turkish
17,235043109.25925925,7046589695.186235,Tamil
18,257816692.9906542,7801578308.056015,Yue Chinese
19,256901437.98358732,7801223266.9072075,Vietnamese
20,88755336.81652491,2793443196.2463765,Tagalog
21,258710440.95354524,8192300154.024212,Wu Chinese
22,,,Korean
23,188748429.45736435,6316661280.606674,Iranian Persian
24,170668958.23605707,5733837264.838778,Hausa
25,,,Egyptian Spoken Arabic
26,58408071.568627454,2118945853.64342,Swahili
27,,,Javanese
28,247201120.4712813,9430307710.224834,Italian
29,,,Western Punjabi
30,196698704.0625,7960983576.104312,Kannada
31,238137817.7419355,9949056182.261627,Gujarati
32,88333788.63261944,3769496721.8320227,Thai
33,145956139.82608697,6575060108.929707,Amharic
34,258040330.0952381,12731321597.640429,Bhojpuri
35,240990396.71179885,12074089668.879457,Eastern Punjabi
36,256942374.84909457,13391355779.531973,Min Nan Chinese
37,,,Jin Chinese
38,247666262.28070176,14068481071.581045,Yoruba
39,257265010.88435373,15110795850.531199,Hakka Chinese
40,198788239.5348837,11974777023.447971,Burmese
41,203914951.06382978,12486879059.268497,Sudanese Spoken Arabic
42,255199113.3004926,16281646857.339417,Polish
43,223033259.80148885,14335399129.013954,Algerian Spoken Arabic
44,130477670.71960297,8386415052.420265,Lingala
