,0,1,2
0,190728539.54545453,975526301.8809873,English
1,617111765.8318425,4099321114.4036045,Mandarin Chinese
2,424112761.9063434,5230347043.088884,Hindi
3,642970284.6252052,8708885336.233776,Spanish
4,214046421.7438891,5799477298.906688,French
5,,,Modern Standard Arabic
6,636448827.5027503,17332781772.7696,Bengali
7,442949687.06429124,12740547095.477503,Russian
8,669748302.3670936,19301324807.383984,Portuguese
9,225398694.16342413,7237118423.159089,Urdu
10,162713403.41708544,6072397167.791556,Indonesian
11,417125415.15601784,23015028038.238125,Standard German
12,742067567.3046252,43947667553.503944,Japanese
13,28918815.74150787,1779357242.3218794,Nigerian Pidgin
14,622755089.6064581,46669542915.85412,Marathi
15,641776023.615465,49803683734.90665,Telugu
16,692924353.6889898,58411698288.966446,Turkish
17,673895003.7037038,57925315818.47129,Tamil
18,739189427.1028037,64131573842.79004,Yue Chinese
19,736565288.1594373,64128655286.21689,Vietnamese
20,254471523.20777643,22963034086.413437,Tagalog
21,741751902.9339854,67343437638.45636,Wu Chinese
22,,,Korean
23,541162955.0387597,51925060976.29125,Iranian Persian
24,489327079.6368353,47134053320.06175,Hausa
25,,,Egyptian Spoken Arabic
26,167462503.92156863,17418441130.23689,Swahili
27,,,Javanese
28,708753387.9234167,77520272360.01872,Italian
29,,,Western Punjabi
30,563957285.625,65441938273.56334,Kannada
31,682767880.6451613,81784557691.34828,Gujarati
32,253262897.19934103,30986519370.919796,Thai
33,418472652.5217391,54049185465.611176,Amharic
34,739830619.8095238,104655706693.64134,Bhojpuri
35,690946545.0676982,99253041193.55275,Eastern Punjabi
36,736682658.7525151,110081407648.41269,Min Nan Chinese
37,,,Jin Chinese
38,710087001.754386,115647603224.89297,Yoruba
39,737607692.5170068,124215778095.9505,Hakka Chinese
40,569948218.6046512,98436658148.67128,Burmese
41,584647076.5957447,102646307559.14432,Sudanese Spoken Arabic
42,731684532.0197045,133840563599.22348,Polish
43,639461415.8808933,117841758616.82906,Algerian Spoken Arabic
44,374094142.4317618,68939126798.89423,Lingala
