,0,1,2
0,151689171.13636363,617044908.5555649,English
1,490797929.2486583,2592923652.9038863,Mandarin Chinese
2,337303024.8920624,3308325984.336589,Hindi
3,511363583.93215394,5508588897.660355,Spanish
4,170234220.7223641,3668315177.8418455,French
5,,,Modern Standard Arabic
6,506176974.5874587,10963420179.825111,Bengali
7,352284304.41518205,8058716307.616146,Russian
8,532660529.45285213,12208573134.121891,Portuguese
9,179262847.47081712,4577659328.111887,Urdu
10,129408327.43718593,3840943855.5252132,Indonesian
11,331745886.7756315,14557583782.083347,Standard German
12,590177088.7559808,27798004476.65482,Japanese
13,22999553.189726595,1125488184.9511974,Nigerian Pidgin
14,495286146.41775984,29519659065.385635,Marathi
15,510413770.84639496,31502081918.94029,Telugu
16,551092778.8876277,36946867511.20289,Turkish
17,535958461.1111111,36639218372.01408,Tamil
18,587888062.1495327,40564832584.26441,Yue Chinese
19,585801046.4243845,40562986523.86571,Vietnamese
20,202384889.67193195,14524696300.539032,Tagalog
21,589926036.3080685,42596417174.314384,Wu Chinese
22,,,Korean
23,430394739.53488374,32843906350.93979,Iranian Persian
24,389168916.7315175,29813473572.83126,Hausa
25,,,Egyptian Spoken Arabic
26,133185355.88235295,11017601876.713669,Swahili
27,,,Javanese
28,563681839.1752577,49033520959.25942,Italian
29,,,Western Punjabi
30,448523400.9375,41393671026.44884,Kannada
31,543015188.7096775,51730788626.211685,Gujarati
32,201423651.89456344,19599752436.010757,Thai
33,332817364.17391306,34187468486.31823,Amharic
34,588398012.0,66197365301.2528,Bhojpuri
35,549519799.032882,62780043561.15156,Eastern Punjabi
36,585894392.9577465,69629257545.50229,Min Nan Chinese
37,,,Jin Chinese
38,564742481.5789474,73150016169.71278,Yoruba
39,586630085.7142857,78569602160.9932,Hakka Chinese
40,453288076.74418604,62263660763.16457,Burmese
41,464978291.4893617,64926369836.74649,Sudanese Spoken Arabic
42,581919310.3448275,84657520938.04993,Polish
43,508572929.7766749,74537874611.42096,Algerian Spoken Arabic
44,297522492.0595533,43605730680.45664,Lingala
