,0,1,2
0,177161040.45454547,841674289.4861114,English
1,573213441.3237925,3536853060.4334216,Mandarin Chinese
2,393943446.26369977,4512690865.196875,Hindi
3,597232511.0705818,7513938746.14857,Spanish
4,198820202.11601606,5003730730.310567,French
5,,,Modern Standard Arabic
6,591174958.6358635,14954549923.753317,Bengali
7,411440404.3377227,10992415994.90836,Russian
8,622105671.0904152,16652989070.690874,Portuguese
9,209364929.1828794,6244113044.409131,Urdu
10,151138764.62311557,5239203250.413196,Indonesian
11,387453145.3194651,19857134896.553776,Standard German
12,689280495.8532696,37917605902.9313,Japanese
13,26861672.07953604,1535211546.6138852,Nigerian Pidgin
14,578455326.5388496,40266012611.452126,Marathi
15,596123203.9707419,42970117812.85886,Telugu
16,643633091.0329171,50397026261.87195,Turkish
17,625957396.2962962,49977380354.341644,Tamil
18,686607092.5233645,55332077406.50094,Yue Chinese
19,684169622.0398593,55329559305.22032,Vietnamese
20,236369658.8092345,19812275037.444656,Tagalog
21,688987286.3080685,58103241211.03505,Wu Chinese
22,,,Korean
23,502667258.9147287,44800420777.455124,Iranian Persian
24,454518735.1491569,40666787519.997925,Hausa
25,,,Egyptian Spoken Arabic
26,155550037.25490198,15028455956.522602,Swahili
27,,,Javanese
28,658336124.8895434,66883711934.34885,Italian
29,,,Western Punjabi
30,523840111.875,56462646668.56225,Kannada
31,634199100.0,70562894463.3,Gujarati
32,235247008.5667216,26734857507.04888,Thai
33,388704546.7826087,46633094039.96087,Amharic
34,687202673.9047619,90295891973.58595,Bhojpuri
35,641795974.0812379,85634526475.44386,Eastern Punjabi
36,684278643.4607646,94977132230.52824,Min Nan Chinese
37,,,Jin Chinese
38,659574871.9298246,99779589835.14783,Yoruba
39,685137874.829932,107172125006.04463,Hakka Chinese
40,529404879.0697674,84930159388.75003,Burmese
41,543058131.9148936,88562202594.26247,Sudanese Spoken Arabic
42,679636059.1133004,115476293211.76442,Polish
43,593973246.1538461,101672685056.63905,Algerian Spoken Arabic
44,347482907.6923077,59479985782.41421,Lingala
