,0,1,2
0,145377787.27272728,566765916.661688,English
1,470377129.87477636,2381643103.4363,Mandarin Chinese
2,323268741.1491199,3038751933.821945,Hindi
3,490087102.24329746,5059729677.380078,Spanish
4,163151226.55964977,3369407940.242806,French
5,,,Modern Standard Arabic
6,485116293.94939494,10070082099.066998,Bengali
7,337626689.38807124,7402063726.438256,Russian
8,510497938.3779589,11213775606.202509,Portuguese
9,171804196.10894942,4204655527.15703,Urdu
10,124023990.3517588,3527970225.4066877,Indonesian
11,317942820.8023774,13371380595.208027,Standard German
12,565621386.2838916,25532925189.282623,Japanese
13,22042602.816901408,1033779444.5609998,Nigerian Pidgin
14,474678604.23814327,27114293299.816105,Marathi
15,489176808.35945666,28935181358.73574,Telugu
16,528163270.82860386,33936306648.706707,Turkish
17,513658651.8518519,33653725844.676273,Tamil
18,563427600.0,37259467188.0,Yue Chinese
19,561427419.4607269,37257771551.10295,Vietnamese
20,193964191.4945322,13341172901.463673,Tagalog
21,565380779.4621027,39125511112.0165,Wu Chinese
22,,,Korean
23,412487156.58914727,30167669211.17016,Iranian Persian
24,372976630.86900127,27384166766.61245,Hausa
25,,,Egyptian Spoken Arabic
26,127643866.66666667,10119848880.507938,Swahili
27,,,Javanese
28,540228533.7260678,45038097014.16931,Italian
29,,,Western Punjabi
30,429861532.5,38020768955.40093,Kannada
31,520421767.7419355,47515581813.972115,Gujarati
32,193042948.2701812,18002695592.678192,Thai
33,318969716.8695652,31401753172.793392,Amharic
34,563916332.1904762,60803370881.67486,Bhojpuri
35,526655738.49129593,57664504550.06492,Eastern Punjabi
36,561516882.0925553,63955620461.44922,Min Nan Chinese
37,,,Jin Chinese
38,541245045.6140351,67189495275.6282,Yoruba
39,562221964.6258503,72167474316.8381,Hakka Chinese
40,434427962.7906977,57190198440.750244,Burmese
41,445631778.7234042,59635940603.05859,Sudanese Spoken Arabic
42,557707192.1182266,77759328035.09914,Polish
43,487412559.8014888,68464266124.56482,Algerian Spoken Arabic
44,285143370.719603,40052582199.67337,Lingala
